FID,FID_1,sFIPS,prFIPS,tFIPS,GeoID,TownName,CountyName,tFIPS20,cFIPS20,PRName,PUMA20code,PUMA20name,Shape__Area,Shape__Length
1,1,09,140,46940,0914046940,Middlebury,New Haven,0900946940,09009,Naugatuck Valley Planning Region,20702,Naugatuck Valley North,85309297.2578125,41046.231747623
2,2,09,140,58300,0914058300,Oxford,New Haven,0900958300,09009,Naugatuck Valley Planning Region,20703,Naugatuck Valley South,153716696.625,56189.8687299972
3,3,09,140,69640,0914069640,Southbury,New Haven,0900969640,09009,Naugatuck Valley Planning Region,20703,Naugatuck Valley South,184998110.328125,63007.6967895201
4,4,09,160,65930,0916065930,Roxbury,Litchfield,0900565930,09005,Northwest Hills Planning Region,20100,Northwest Hills,122000326.957031,45250.9960910728
5,5,09,190,08210,0919008210,Bridgewater,Litchfield,0900508210,09005,Western Connecticut Planning Region,20904,Western North,80053985.53125,44392.2182730089
6,6,09,140,87910,0914087910,Woodbury,Litchfield,0900587910,09005,Naugatuck Valley Planning Region,20702,Naugatuck Valley North,169651408.890625,53860.5456323842
7,7,09,190,52980,0919052980,Newtown,Fairfield,0900152980,09001,Western Connecticut Planning Region,20904,Western North,271519107.15625,76384.2118528464
8,8,09,140,67610,0914067610,Seymour,New Haven,0900967610,09009,Naugatuck Valley Planning Region,20703,Naugatuck Valley South,68959760.4609375,39826.8650684903
9,9,09,140,49950,0914049950,Naugatuck,New Haven,0900949950,09009,Naugatuck Valley Planning Region,20703,Naugatuck Valley South,76127621.8632813,37679.6176708206
10,10,09,140,03250,0914003250,Beacon Falls,New Haven,0900903250,09009,Naugatuck Valley Planning Region,20703,Naugatuck Valley South,45157987.4296875,32385.6928431976
11,11,09,120,48620,0912048620,Monroe,Fairfield,0900148620,09001,Greater Bridgeport Planning Region,20802,Bridgeport Suburban,120786885.238281,53237.7057493831
12,12,09,140,68170,0914068170,Shelton,Fairfield,0900168170,09001,Naugatuck Valley Planning Region,20703,Naugatuck Valley South,146555050.390625,55361.3608669066
13,13,09,140,80070,0914080070,Waterbury,New Haven,0900980070,09009,Naugatuck Valley Planning Region,20701,Waterbury Town,134153721.316406,51226.8580926558
14,14,09,140,04930,0914004930,Bethlehem,Litchfield,0900504930,09005,Naugatuck Valley Planning Region,20702,Naugatuck Valley North,91239497.0351563,38449.396534951
